year,pollutant,station_id,station_name,month,valid_days,who_exceedance_days,conama_exceedance_days,max_hourly_value,max_hourly_at,coverage_percent,data_quality_tier,validation_note
2022,PM10,69,VR - Belmonte,2022-01,28,0,0,137.32,2022-01-19T16:00:00,92.07,HIGH,Cobertura técnica de 92.1% com 28 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-02,28,0,0,100.96,2022-02-26T18:00:00,96.73,HIGH,Cobertura técnica de 96.7% com 28 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-03,31,0,0,147.52,2022-03-17T20:00:00,96.10,HIGH,Cobertura técnica de 96.1% com 31 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-04,30,0,0,113.04,2022-04-20T11:00:00,99.31,HIGH,Cobertura técnica de 99.3% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-05,31,0,0,101.51,2022-05-10T16:00:00,98.92,HIGH,Cobertura técnica de 98.9% com 31 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-06,30,0,0,113.85,2022-06-25T10:00:00,99.44,HIGH,Cobertura técnica de 99.4% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-07,31,5,2,201.59,2022-07-29T15:00:00,99.06,HIGH,Cobertura técnica de 99.1% com 31 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-08,31,13,10,253.34,2022-08-16T09:00:00,99.87,HIGH,Cobertura técnica de 99.9% com 31 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-09,30,9,6,240.46,2022-09-09T10:00:00,99.44,HIGH,Cobertura técnica de 99.4% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-10,30,7,6,319.39,2022-10-21T06:00:00,97.04,HIGH,Cobertura técnica de 97.0% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-11,30,1,1,131.87,2022-11-20T08:00:00,93.61,HIGH,Cobertura técnica de 93.6% com 30 dias válidos analiticamente.
2022,PM10,69,VR - Belmonte,2022-12,28,3,1,206.14,2022-12-25T08:00:00,89.11,HIGH,Cobertura técnica de 89.1% com 28 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-01,27,0,0,46.44,2022-01-21T09:00:00,93.41,HIGH,Cobertura técnica de 93.4% com 27 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-02,28,1,0,65.11,2022-02-26T18:00:00,96.58,HIGH,Cobertura técnica de 96.6% com 28 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-03,31,3,0,76.90,2022-03-17T18:00:00,97.98,HIGH,Cobertura técnica de 98.0% com 31 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-04,30,4,0,60.29,2022-04-19T12:00:00,99.58,HIGH,Cobertura técnica de 99.6% com 30 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-05,31,4,0,81.80,2022-05-10T16:00:00,99.87,HIGH,Cobertura técnica de 99.9% com 31 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-06,30,3,0,50.58,2022-06-21T17:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 30 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-07,31,21,1,90.63,2022-07-11T13:00:00,99.19,HIGH,Cobertura técnica de 99.2% com 31 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-08,31,14,2,73.35,2022-08-16T09:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 31 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-09,30,8,3,109.45,2022-09-02T09:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 30 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-10,30,4,0,52.43,2022-10-13T09:00:00,97.85,HIGH,Cobertura técnica de 97.8% com 30 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-11,30,1,0,53.77,2022-11-06T20:00:00,98.61,HIGH,Cobertura técnica de 98.6% com 30 dias válidos analiticamente.
2022,PM2.5,69,VR - Belmonte,2022-12,31,1,0,47.46,2022-12-29T20:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 31 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-01,28,0,0,123.03,2022-01-22T18:00:00,95.03,HIGH,Cobertura técnica de 95.0% com 28 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-02,28,0,0,108.05,2022-02-25T17:00:00,97.77,HIGH,Cobertura técnica de 97.8% com 28 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-03,31,0,0,160.27,2022-03-31T15:00:00,98.66,HIGH,Cobertura técnica de 98.7% com 31 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-04,30,0,0,103.67,2022-04-29T18:00:00,99.58,HIGH,Cobertura técnica de 99.6% com 30 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-05,31,0,0,143.00,2022-05-30T10:00:00,99.19,HIGH,Cobertura técnica de 99.2% com 31 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-06,30,5,2,271.52,2022-06-18T16:00:00,94.86,HIGH,Cobertura técnica de 94.9% com 30 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-07,30,7,5,284.44,2022-07-29T09:00:00,96.24,HIGH,Cobertura técnica de 96.2% com 30 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-08,31,8,4,191.17,2022-08-29T10:00:00,99.73,HIGH,Cobertura técnica de 99.7% com 31 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-09,30,6,6,252.05,2022-09-20T17:00:00,99.03,HIGH,Cobertura técnica de 99.0% com 30 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-10,30,5,4,225.04,2022-10-13T17:00:00,97.58,HIGH,Cobertura técnica de 97.6% com 30 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-11,29,2,0,163.18,2022-11-19T17:00:00,97.92,HIGH,Cobertura técnica de 97.9% com 29 dias válidos analiticamente.
2022,PM10,70,VR - Retiro,2022-12,29,4,3,209.56,2022-12-10T18:00:00,93.82,HIGH,Cobertura técnica de 93.8% com 29 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-01,30,0,0,39.99,2022-01-01T01:00:00,98.25,HIGH,Cobertura técnica de 98.3% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-02,28,0,0,35.88,2022-02-24T10:00:00,99.11,HIGH,Cobertura técnica de 99.1% com 28 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-03,31,0,0,90.67,2022-03-07T23:00:00,98.92,HIGH,Cobertura técnica de 98.9% com 31 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-04,30,3,0,75.87,2022-04-20T11:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-05,31,4,0,54.62,2022-05-30T10:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 31 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-06,30,5,0,50.74,2022-06-07T14:00:00,99.31,HIGH,Cobertura técnica de 99.3% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-07,30,12,0,97.50,2022-07-29T09:00:00,97.72,HIGH,Cobertura técnica de 97.7% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-08,31,9,0,57.11,2022-08-02T16:00:00,99.87,HIGH,Cobertura técnica de 99.9% com 31 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-09,30,5,1,78.41,2022-09-03T07:00:00,99.72,HIGH,Cobertura técnica de 99.7% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-10,30,2,0,56.67,2022-10-10T15:00:00,97.72,HIGH,Cobertura técnica de 97.7% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-11,30,1,1,76.20,2022-11-11T11:00:00,100.00,HIGH,Cobertura técnica de 100.0% com 30 dias válidos analiticamente.
2022,PM2.5,70,VR - Retiro,2022-12,29,0,0,41.29,2022-12-10T18:00:00,97.31,HIGH,Cobertura técnica de 97.3% com 29 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-01,21,0,0,78.68,2022-01-21T09:00:00,73.25,MEDIUM,Cobertura técnica de 73.3% com 21 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-02,25,0,0,80.56,2022-02-22T16:00:00,87.65,HIGH,Cobertura técnica de 87.6% com 25 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-03,31,0,0,75.37,2022-03-04T08:00:00,97.72,HIGH,Cobertura técnica de 97.7% com 31 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-04,30,0,0,106.28,2022-04-23T12:00:00,95.69,HIGH,Cobertura técnica de 95.7% com 30 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-05,31,0,0,120.84,2022-05-28T10:00:00,99.06,HIGH,Cobertura técnica de 99.1% com 31 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-06,30,0,0,126.63,2022-06-17T10:00:00,96.67,HIGH,Cobertura técnica de 96.7% com 30 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-07,30,2,2,410.81,2022-07-29T09:00:00,96.51,HIGH,Cobertura técnica de 96.5% com 30 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-08,26,5,4,241.50,2022-08-02T11:00:00,91.67,HIGH,Cobertura técnica de 91.7% com 26 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-09,23,3,2,152.56,2022-09-10T10:00:00,84.17,HIGH,Cobertura técnica de 84.2% com 23 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-10,30,0,0,114.75,2022-10-29T09:00:00,94.89,HIGH,Cobertura técnica de 94.9% com 30 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-11,25,0,0,116.69,2022-11-09T14:00:00,86.11,HIGH,Cobertura técnica de 86.1% com 25 dias válidos analiticamente.
2022,PM10,71,VR - Santa Cecília,2022-12,31,0,0,109.14,2022-12-10T11:00:00,98.79,HIGH,Cobertura técnica de 98.8% com 31 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-01,21,0,0,40.64,2022-01-21T09:00:00,77.02,HIGH,Cobertura técnica de 77.0% com 21 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-02,28,0,0,55.44,2022-02-05T20:00:00,98.36,HIGH,Cobertura técnica de 98.4% com 28 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-03,31,0,0,96.53,2022-03-13T17:00:00,97.85,HIGH,Cobertura técnica de 97.8% com 31 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-04,30,3,0,51.39,2022-04-19T09:00:00,99.72,HIGH,Cobertura técnica de 99.7% com 30 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-05,31,2,0,57.20,2022-05-19T00:00:00,99.60,HIGH,Cobertura técnica de 99.6% com 31 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-06,30,6,0,56.96,2022-06-17T10:00:00,96.94,HIGH,Cobertura técnica de 96.9% com 30 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-07,29,12,0,71.22,2022-07-04T09:00:00,96.64,HIGH,Cobertura técnica de 96.6% com 29 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-08,26,6,0,59.50,2022-08-02T11:00:00,91.94,HIGH,Cobertura técnica de 91.9% com 26 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-09,23,6,3,79.44,2022-09-02T21:00:00,84.31,HIGH,Cobertura técnica de 84.3% com 23 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-10,30,0,0,36.27,2022-10-29T09:00:00,97.58,HIGH,Cobertura técnica de 97.6% com 30 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-11,27,0,0,48.32,2022-11-14T07:00:00,93.19,HIGH,Cobertura técnica de 93.2% com 27 dias válidos analiticamente.
2022,PM2.5,71,VR - Santa Cecília,2022-12,31,0,0,44.71,2022-12-28T17:00:00,99.46,HIGH,Cobertura técnica de 99.5% com 31 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-01,30,2,0,124.00,2023-01-18T16:00:00,89.52,HIGH,Cobertura técnica de 89.5% com 30 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-02,28,0,0,193.33,2023-02-25T19:00:00,97.77,HIGH,Cobertura técnica de 97.8% com 28 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-03,29,4,1,134.72,2023-03-22T09:00:00,94.89,HIGH,Cobertura técnica de 94.9% com 29 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-04,30,4,1,146.10,2023-04-18T12:00:00,97.08,HIGH,Cobertura técnica de 97.1% com 30 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-05,31,11,8,268.29,2023-05-21T10:00:00,98.66,HIGH,Cobertura técnica de 98.7% com 31 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-06,30,13,6,267.92,2023-06-12T11:00:00,99.17,HIGH,Cobertura técnica de 99.2% com 30 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-07,31,10,8,333.10,2023-07-16T17:00:00,99.06,HIGH,Cobertura técnica de 99.1% com 31 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-08,31,14,11,278.30,2023-08-03T19:00:00,97.18,HIGH,Cobertura técnica de 97.2% com 31 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-09,30,18,12,308.28,2023-09-19T09:00:00,98.06,HIGH,Cobertura técnica de 98.1% com 30 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-10,28,1,1,167.64,2023-10-24T18:00:00,89.52,HIGH,Cobertura técnica de 89.5% com 28 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-11,26,5,2,156.32,2023-11-14T16:00:00,89.44,HIGH,Cobertura técnica de 89.4% com 26 dias válidos analiticamente.
2023,PM10,69,VR - Belmonte,2023-12,31,2,0,141.36,2023-12-26T10:00:00,98.25,HIGH,Cobertura técnica de 98.3% com 31 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-01,30,0,0,46.30,2023-01-01T01:00:00,89.65,HIGH,Cobertura técnica de 89.7% com 30 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-02,28,0,0,47.26,2023-02-03T10:00:00,97.92,HIGH,Cobertura técnica de 97.9% com 28 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-03,29,3,0,40.11,2023-03-27T08:00:00,96.64,HIGH,Cobertura técnica de 96.6% com 29 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-04,30,2,0,80.83,2023-04-23T21:00:00,99.03,HIGH,Cobertura técnica de 99.0% com 30 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-05,31,7,2,85.70,2023-05-21T09:00:00,98.92,HIGH,Cobertura técnica de 98.9% com 31 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-06,30,11,0,66.71,2023-06-12T11:00:00,99.72,HIGH,Cobertura técnica de 99.7% com 30 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-07,31,12,1,85.98,2023-07-12T10:00:00,99.60,HIGH,Cobertura técnica de 99.6% com 31 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-08,31,13,1,66.03,2023-08-03T23:00:00,99.06,HIGH,Cobertura técnica de 99.1% com 31 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-09,30,15,2,86.26,2023-09-19T09:00:00,99.31,HIGH,Cobertura técnica de 99.3% com 30 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-10,30,4,0,72.82,2023-10-04T20:00:00,94.76,HIGH,Cobertura técnica de 94.8% com 30 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-11,30,6,0,54.69,2023-11-07T22:00:00,98.33,HIGH,Cobertura técnica de 98.3% com 30 dias válidos analiticamente.
2023,PM2.5,69,VR - Belmonte,2023-12,31,6,0,58.53,2023-12-28T22:00:00,99.87,HIGH,Cobertura técnica de 99.9% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-01,31,1,1,251.46,2023-01-25T09:00:00,94.35,HIGH,Cobertura técnica de 94.4% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-02,26,0,0,133.75,2023-02-22T10:00:00,94.05,HIGH,Cobertura técnica de 94.0% com 26 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-03,31,3,0,147.60,2023-03-27T17:00:00,98.12,HIGH,Cobertura técnica de 98.1% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-04,30,0,0,182.97,2023-04-06T17:00:00,98.47,HIGH,Cobertura técnica de 98.5% com 30 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-05,31,2,1,235.31,2023-05-05T12:00:00,99.19,HIGH,Cobertura técnica de 99.2% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-06,30,4,1,193.20,2023-06-21T09:00:00,99.72,HIGH,Cobertura técnica de 99.7% com 30 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-07,28,2,0,149.82,2023-07-24T21:00:00,94.35,HIGH,Cobertura técnica de 94.4% com 28 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-08,31,4,1,176.15,2023-08-06T09:00:00,99.33,HIGH,Cobertura técnica de 99.3% com 31 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-09,30,5,3,173.01,2023-09-27T09:00:00,98.89,HIGH,Cobertura técnica de 98.9% com 30 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-10,28,1,0,137.79,2023-10-27T17:00:00,88.31,HIGH,Cobertura técnica de 88.3% com 28 dias válidos analiticamente.
2023,PM10,70,VR - Retiro,2023-11,30,2,1,170.39,2023-11-09T21:00:00,99.03,HIGH,Cobertura técnica de 99.0% com 30 dias válidos analiticamente.
