year,station_id,station_name,pollutant,annual_mean,max_hourly_peak,coverage_percent,exceedance_days_who,exceedance_days_conama,coverage_status
2013,69,VR - Belmonte,SO2,2.86,163.69,59.14,0,0,INSUFFICIENT_ANNUAL_COVERAGE
2013,70,VR - Retiro,SO2,9.34,140.60,57.84,1,16,INSUFFICIENT_ANNUAL_COVERAGE
2013,71,VR - Santa Cecília,SO2,1.95,14.12,49.67,0,0,INSUFFICIENT_ANNUAL_COVERAGE
2014,69,VR - Belmonte,SO2,3.26,80.22,97.31,0,0,SUFFICIENT
2014,70,VR - Retiro,SO2,10.44,157.38,70.34,2,20,INSUFFICIENT_ANNUAL_COVERAGE
2014,71,VR - Santa Cecília,SO2,7.29,75.80,95.80,0,1,SUFFICIENT
2015,69,VR - Belmonte,SO2,4.27,54.96,95.65,0,0,SUFFICIENT
2015,70,VR - Retiro,SO2,16.97,101.01,97.92,2,124,SUFFICIENT
2015,71,VR - Santa Cecília,SO2,12.39,104.97,94.98,4,36,SUFFICIENT
2016,69,VR - Belmonte,SO2,5.12,59.62,96.65,0,0,SUFFICIENT
2016,70,VR - Retiro,SO2,8.31,91.18,89.32,0,5,SUFFICIENT
2016,71,VR - Santa Cecília,SO2,24.94,66.59,96.51,78,138,SUFFICIENT
2017,69,VR - Belmonte,SO2,10.23,146.08,97.90,0,35,SUFFICIENT
2017,70,VR - Retiro,SO2,8.53,137.57,92.39,0,0,SUFFICIENT
2017,71,VR - Santa Cecília,SO2,11.81,154.36,95.46,22,36,SUFFICIENT
2018,69,VR - Belmonte,SO2,8.23,65.72,70.72,0,4,INSUFFICIENT_ANNUAL_COVERAGE
2018,70,VR - Retiro,SO2,4.34,227.34,95.94,0,1,SUFFICIENT
2018,71,VR - Santa Cecília,SO2,7.38,82.76,96.34,0,1,SUFFICIENT
2019,69,VR - Belmonte,SO2,4.44,166.18,87.40,0,3,SUFFICIENT
2019,70,VR - Retiro,SO2,6.97,116.17,86.28,0,4,SUFFICIENT
2019,71,VR - Santa Cecília,SO2,13.71,74.59,78.74,0,39,SUFFICIENT
2024,70,VR - Retiro,SO2,4.67,7.75,99.61,0,0,SUFFICIENT