station_id,station_name,parameter_id,pollutant,unit,year,valid_days_18h,daily_rows,total_hourly_records,expected_hours,coverage_percent,daily_mean_average,max_daily_mean,max_daily_max,zero_hours,data_quality_tier,validation_note
69,VR - Belmonte,2130,O3,µg/m³,2013,339,361,8308,8760,94.84,27.4883,58.7941,101.0568,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
69,VR - Belmonte,2130,O3,µg/m³,2014,354,364,8589,8760,98.05,36.1904,87.4444,173.5702,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
69,VR - Belmonte,2130,O3,µg/m³,2015,341,360,8319,8760,94.97,31.4367,92.8147,197.5563,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
70,VR - Retiro,2130,O3,µg/m³,2013,326,354,8058,8760,91.99,35.4869,69.5918,112.0356,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
70,VR - Retiro,2130,O3,µg/m³,2014,301,323,7394,8760,84.41,39.6878,85.0252,171.3334,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
70,VR - Retiro,2130,O3,µg/m³,2015,357,364,8521,8760,97.27,34.9109,91.4069,173.8989,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
71,VR - Santa Cecília,2130,O3,µg/m³,2013,317,362,7932,8760,90.55,40.1244,71.0867,127.7352,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
71,VR - Santa Cecília,2130,O3,µg/m³,2014,296,345,7565,8760,86.36,36.1267,86.2272,196.1876,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
71,VR - Santa Cecília,2130,O3,µg/m³,2015,335,357,8272,8760,94.43,36.7626,92.6874,176.2565,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
69,VR - Belmonte,18,PM10,µg/m³,2013,346,360,8231,8760,93.96,35.9315,77.4105,311.9751,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
69,VR - Belmonte,18,PM10,µg/m³,2014,343,362,8325,8760,95.03,38.2878,100.574,300.25,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
69,VR - Belmonte,18,PM10,µg/m³,2015,319,348,7629,8760,87.09,33.6632,87.5653,224.5042,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
70,VR - Retiro,18,PM10,µg/m³,2013,332,357,8021,8760,91.56,24.8425,59.295,222.6909,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
70,VR - Retiro,18,PM10,µg/m³,2014,326,352,7859,8760,89.71,32.8174,144.7282,430.03,1,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
70,VR - Retiro,18,PM10,µg/m³,2015,343,364,8192,8760,93.52,28.8622,70.4966,416.002,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
71,VR - Santa Cecília,18,PM10,µg/m³,2013,347,362,8342,8760,95.23,21.5104,51.9973,264.3407,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
71,VR - Santa Cecília,18,PM10,µg/m³,2014,342,357,8278,8760,94.5,26.1241,101.7513,267.03,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
71,VR - Santa Cecília,18,PM10,µg/m³,2015,315,357,7770,8760,88.7,24.6933,95.2844,575.407,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
69,VR - Belmonte,1955,PTS,µg/m³,2013,351,362,8324,8760,95.02,51.173,109.0388,425.3383,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
69,VR - Belmonte,1955,PTS,µg/m³,2014,344,362,8337,8760,95.17,54.822,151.2621,585.5233,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
69,VR - Belmonte,1955,PTS,µg/m³,2015,323,352,7751,8760,88.48,44.2415,124.7891,496.9387,17,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
70,VR - Retiro,1955,PTS,µg/m³,2013,337,357,8171,8760,93.28,37.3202,103.9798,361.3042,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
70,VR - Retiro,1955,PTS,µg/m³,2014,336,355,8143,8760,92.96,50.6726,194.8167,514.96,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
70,VR - Retiro,1955,PTS,µg/m³,2015,351,364,8357,8760,95.4,39.6759,111.5057,837.3145,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
71,VR - Santa Cecília,1955,PTS,µg/m³,2013,224,242,5534,8760,63.17,35.0111,98.6293,311.9808,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
71,VR - Santa Cecília,1955,PTS,µg/m³,2014,200,206,4799,8760,54.78,45.212,155.6487,522.8658,0,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.
71,VR - Santa Cecília,1955,PTS,µg/m³,2015,307,349,7617,8760,86.95,34.6261,156.3065,739.7683,2,OPEN_DATA_PREVIEW,Consolidado offline a partir dos arquivos diarios de preview; nao publicado no manifesto de dados abertos.